,Tipo greedy,Cambio promedio,Valor objetivo,Tiempo,Promedio Economía (P),Promedio Diplomacia (P),Promedio Estado (P),Promedio Sociedad (P),Promedio Género,Promedio Economía (IDL),Promedio Diplomacia (IDL),Promedio Estado (IDL),Promedio Sociedad (IDL)
0,normal,0,,0.0468726158142089,0,0,0,0,0,0,0,0,0
1,normal,0,,0.0538549423217773,0,0,0,0,0,0,0,0,0
2,normal,0,,0.0852949619293212,0,0,0,0,0,0,0,0,0
3,normal,0,,0.0109703540802001,0,0,0,0,0,0,0,0,0
4,normal,0,,0.0109479427337646,0,0,0,0,0,0,0,0,0
5,normal,0,,0.0179500579833984,0,0,0,0,0,0,0,0,0
6,normal,0,,0.0119669437408447,0,0,0,0,0,0,0,0,0
7,normal,0,,0.0109698772430419,0,0,0,0,0,0,0,0,0
8,normal,0,,0.0139615535736083,0,0,0,0,0,0,0,0,0
9,normal,0,2.7194934146841296,0.0059528350830078,0,0,0,0,0,0,0,0,0
10,normal,0,3.2163406348130783,0.005958080291748,0,0,0,0,0,0,0,0,0
11,normal,0,3.178835799936981,0.0050187110900878,0,0,0,0,0,0,0,0,0
12,normal,0,3.178835799936981,0.008947610855102539,0,0,0,0,0,0,0,0,0
