,Tipo greedy,Cambio promedio,Valor objetivo,Tiempo,Promedio Economía,Promedio Diplomacia,Promedio Estado,Promedio Sociedad,Promedio Género
0,normal,0,3.970671440314789,2.559149742126465,0.9236197193427949,1.734503074716069,1.6284589422801496,3.654761144290565,7.174
1,normal,1,10.149332981786996,2.09079647064209,5.000000000000003,4.999999999999995,5.144637450493812,5.154028513080184,12.451999999999998
2,normal,-1,10.29222863178012,2.553917169570923,5.000000000000001,5.000000000000004,5.081902734171395,5.50255452938884,6.048
3,random,0,3.6037214938372646,2.840519666671753,0.9745073448575744,1.862756334573564,1.632869084959993,2.7373102232833983,4.583948717948718
4,random,1,10.322077183794896,3.5079500675201416,4.976744805071642,4.979206379719355,5.041678507299045,5.646524675499749,10.999120448179273
5,random,-1,10.38915032432468,2.851109266281128,4.970486907354731,5.055183956765745,5.041966309336315,5.710663475192569,5.646627450980392
6,iterativo,0,3.622234655037283,53.56161260604858,0.923545665907238,1.5388832638736083,1.6901983987805345,3.091841981513185,8.835174675819983
7,iterativo,1,10.309666837876534,52.0174515247345,5.005282566952165,5.035764903492109,5.097029502732449,5.481256702576349,10.332338095399685
8,iterativo,-1,10.219324744740264,59.57063126564026,5.043149772546975,4.925547673372454,5.086501860769268,5.383450182791831,5.7298823529411775
9,normal,0,3.970671440314789,2.0920674800872803,0.9236197193427949,1.734503074716069,1.6284589422801496,3.654761144290565,7.174
10,normal,1,10.149332981786996,2.107447624206543,5.000000000000003,4.999999999999995,5.144637450493812,5.154028513080184,12.451999999999998
11,normal,-1,10.29222863178012,2.314554452896118,5.000000000000001,5.000000000000004,5.081902734171395,5.50255452938884,6.048
12,random,0,3.51456484369296,2.6307742595672607,1.0525462427489845,1.7219746892963883,1.4756401651891302,2.7789685901514165,4.9562271062271055
13,random,1,10.45885594313664,2.9126248359680176,4.970770033187682,4.935835108365199,5.03623486731794,5.97487187740246,9.834070175438594
14,random,-1,10.175657251312014,2.903371572494507,4.998240769670232,4.984876195163468,4.952642985156207,5.415554552634119,5.920888888888891
15,iterativo,0,3.79712101288819,55.10054969787598,1.108807448890676,1.7421533724989706,1.5696002299442413,3.1736809744424925,5.57229411764706
16,iterativo,1,10.225923375293142,54.82756018638611,5.0078738979139805,4.959198387953628,5.003644043939046,5.481130420779629,9.747454545454548
17,iterativo,-1,10.399036595799586,57.02234292030335,4.993882611830623,5.003820227073593,5.020478074907194,5.779892277787763,5.884997076023394
18,normal,0,3.970671440314789,2.170939683914185,0.9236197193427949,1.734503074716069,1.6284589422801496,3.654761144290565,7.174
19,normal,1,10.149332981786996,2.1272940635681152,5.000000000000003,4.999999999999995,5.144637450493812,5.154028513080184,12.451999999999998
20,normal,-1,10.29222863178012,2.355580568313598,5.000000000000001,5.000000000000004,5.081902734171395,5.50255452938884,6.048
21,random,0,3.886931820819692,2.593295097351074,1.0678641164503029,1.6323416034218106,1.6307823674211277,3.4428755543461422,6.993071647223125
22,random,1,10.261342315748802,2.9194495677948,5.03041495029087,5.081166836900246,5.031610155182979,5.37949268912351,8.359352941176475
23,random,-1,10.233328185057175,3.005412340164185,5.000140451708985,4.989588359382453,4.997468685329838,5.4794588736930745,5.806787878787881
24,iterativo,0,3.601021716347497,55.00054550170898,1.0513127408578646,1.621459191456886,1.6105790916872853,2.918692408692958,5.2870065359477145
25,iterativo,1,10.255830013920018,56.5383517742157,5.005905133131341,4.999165548457167,5.001045219643959,5.505544126607571,9.472999999999995
26,iterativo,-1,10.278334934185546,64.06433749198914,4.967327966219758,5.087868861369963,5.023229457868659,5.47824358291271,5.92347735191638
27,random,-1,10.228689290589616,2.7642478942871094,5.00444660376069,5.043144763791192,5.044166693489688,5.365620520137663,5.8884459984460005
28,random,-1,10.624093526547044,2.777552604675293,5.007044130178748,5.1806424385496594,5.299057726386199,5.7614427579794825,6.462718954248368
29,random,-1,10.44932479198287,8.188607215881348,4.969831258193389,5.062695700474759,5.294563733552264,5.571558891745327,6.622352941176471
30,random,-1,10.18468405950371,3.377015829086304,4.896575257888966,5.050327546579214,4.950059083491186,5.47240623104805,6.136000000000003
31,random,-1,10.218235424221316,3.434195280075073,4.981083901156738,5.0798442471222485,5.009675791644522,5.365866908519124,5.919464387464391
32,random,-1,10.515201765604973,3.490708589553833,5.043041896341532,5.1422686819477,5.045139897071451,5.799953055849262,5.919325961963736
33,random,-1,10.356402829218364,3.6404197216033936,5.033737959351274,5.139649328641356,5.082076833856635,5.457341536587466,6.220888888888891
34,random,-1,10.507400783917406,3.481783390045166,4.949287058545388,4.928432283656108,5.050105905211215,6.086976320422101,6.646410256410259
35,normal,0,3.970671440314789,2.777565717697144,0.9236197193427949,1.734503074716069,1.6284589422801496,3.654761144290565,7.174
36,normal,1,10.149332981786996,2.226156711578369,5.000000000000003,4.999999999999995,5.144637450493812,5.154028513080184,12.451999999999998
37,normal,-1,10.29222863178012,3.620607614517212,5.000000000000001,5.000000000000004,5.081902734171395,5.50255452938884,6.048
38,random,0,3.840641260941692,3.1022512912750244,1.1385018920676484,1.9289679779395048,1.68505424610095,2.92875840577528,4.792794258373207
39,random,1,10.209796374064622,2.978354930877685,4.999044922299989,4.972808265548782,5.005933730114869,5.441805830165604,11.149494393074953
40,random,-1,10.232661564097882,2.88924527168274,4.985959399913971,5.068439420108234,5.084175265236927,5.326749042936634,5.670095238095241
41,iterativo,0,3.9788850478992734,69.25049567222595,1.05999581201913,2.131277542827965,1.5799058518992306,3.1865908890522228,6.185047619047619
42,iterativo,1,10.516778047844406,55.32337546348572,5.129833402291726,5.066989423988946,5.254850056902767,5.581883212505374,11.20403921568627
43,iterativo,-1,10.425146142121347,57.98221468925476,5.055437629231575,4.966873588106492,5.050242497453297,5.77773856945133,5.832299595141703
44,normal,0,3.970671440314789,2.3952157497406006,0.9236197193427949,1.734503074716069,1.6284589422801496,3.654761144290565,7.174
45,normal,1,10.149332981786996,2.240288257598877,5.000000000000003,4.999999999999995,5.144637450493812,5.154028513080184,12.451999999999998
46,normal,-1,10.29222863178012,3.2487926483154297,5.000000000000001,5.000000000000004,5.081902734171395,5.50255452938884,6.048
47,random,0,4.106291351451707,3.260582685470581,0.9934905292120878,1.886155552216171,1.771190377259488,3.561746244215668,4.359989956958393
48,random,1,10.178554047232335,2.9941768646240234,5.015854331361983,5.011711005588782,5.053273984271274,5.276268773242632,9.169829725829722
49,random,-1,10.340135371922898,3.171744108200073,5.027258055323526,5.033376470371258,4.982745863098974,5.63689035505204,5.9031633986928105
50,iterativo,0,4.095203365092216,65.54698204994202,0.8507382731809205,1.464784953414369,1.6583239816925974,4.216559521896543,7.0276923076923055
51,iterativo,1,10.223169229875037,62.64880323410034,5.007872140559416,4.933120218075451,5.0821372407852135,5.423208860329989,8.985439820196852
52,iterativo,-1,10.569479344675788,66.63331294059753,5.014143233016231,5.205173411114313,5.203376382346696,5.716265662874334,6.550526315789477
53,iterativo,0,3.81335938415927,63.25240445137024,0.8509537197061035,1.9331573401417628,1.3396332304570486,3.5029744780136247,7.994666666666667
54,iterativo,1,10.276367947230652,465.93635272979736,5.048693526544454,5.015063223495821,4.992062629912927,5.496916514508104,8.60730735930736
55,iterativo,-1,10.24606047921992,93.3953709602356,5.011437512618546,5.122990190293326,5.038352953082404,5.319340302445561,6.0034285714285724
56,iterativo,0,3.329754454357762,82.03770089149475,0.8773925403229601,1.501306421149541,1.5928958227930576,2.687914124449965,5.681800511508951
57,iterativo,1,10.183366457161632,70.22338843345642,4.986084360762152,4.99396195838972,4.987793847676774,5.398892747494621,9.307341692789969
58,iterativo,-1,10.284309936724227,103.30417156219482,5.000357726903532,5.012487460011792,5.003835440641852,5.551939245891281,5.958030690537086
59,iterativo,0,4.043089818561491,241.5731599330902,0.9574496446621474,1.7842096266403047,1.3492944949176144,3.995225870902915,5.3595151515151525
60,iterativo,1,10.29161138435567,191.9545285701752,5.004188744927607,5.004608290207579,5.011197065221923,5.563228668354232,11.190271099744244
61,iterativo,-1,10.24024211726718,229.2646598815918,4.9972818342561,4.996271659775861,4.998482777999752,5.488447962502649,6.065814536340854
